gender,income,credit_score,years_employed,loan_approved
0,96412,785,6,0
1,88335,790,1,1
0,86179,712,12,1
0,62093,664,13,1
0,99678,504,16,0
1,110738,838,8,0
0,69734,577,16,0
0,102615,561,7,0
0,103523,631,1,0
1,47019,588,12,1
0,113613,736,2,0
0,116672,541,15,1
0,103847,588,5,0
0,112750,795,18,0
1,109634,827,6,1
0,58251,794,9,1
1,55945,603,8,1
1,62217,513,1,1
1,38308,787,14,1
0,35949,678,4,0
1,81990,624,3,1
0,31150,522,19,0
1,119480,562,3,1
1,104740,642,17,0
1,96617,652,3,1
1,46896,644,16,0
1,76175,724,11,0
1,37805,808,16,1
1,35237,603,9,0
1,50056,603,0,1
0,75543,538,17,1
0,86556,697,17,0
1,33343,633,13,1
1,43500,566,14,1
1,83222,678,11,1
0,59375,541,3,0
1,39662,514,2,1
0,46964,610,19,1
0,89638,656,11,1
0,103666,788,6,0
0,115067,730,10,0
0,97215,656,0,0
1,99042,537,5,1
1,43284,596,14,1
1,102789,788,14,1
1,114664,753,18,1
1,91389,695,10,0
0,39435,585,1,0
1,84340,821,13,0
1,74078,509,1,1
0,108832,504,3,0
1,81293,622,16,1
0,108781,829,2,0
1,90403,617,12,1
0,59124,793,8,1
1,73919,658,6,0
1,65247,802,14,1
0,92752,727,10,0
0,86573,715,19,1
0,89101,683,1,0
0,56646,514,14,1
0,53049,656,13,0
0,109605,635,19,1
0,98385,760,10,1
0,70158,656,2,0
1,95417,546,16,0
1,53289,823,11,1
0,39823,831,14,0
1,90160,672,15,0
1,71975,629,4,0
1,39540,594,19,1
1,46364,614,5,0
0,34611,742,18,0
1,57663,791,4,1
0,81991,781,2,0
1,87679,798,0,1
1,60977,782,5,1
1,79115,568,14,1
0,118223,647,1,1
1,90890,510,2,1
0,96387,753,16,0
1,48071,829,11,0
0,89275,537,17,0
1,102369,633,14,1
0,41938,699,11,1
0,65195,522,15,1
1,34000,802,7,1
0,100588,845,13,0
1,68304,801,16,1
1,99449,717,7,1
1,112986,640,14,1
1,119643,603,13,1
1,50764,709,17,1
1,116027,610,19,1
1,68494,603,6,1
1,33373,815,2,1
1,42161,670,11,1
1,57350,823,2,1
